sku_id,equipment_name,equipment_category,location_id,location_name,on_hand_qty,avg_weekly_forecast_demand,lead_time_days,lead_time_demand,safety_stock,reorder_point,weeks_of_cover,risk_status,reorder_qty_recommended
SKU-048,Gimbal Stabilizer A,Grip,LOC-04,New Orleans,72,8.48,5,6.05,8.05,14.1,8.5,OK,0
SKU-049,Tripod Head A,Grip,LOC-01,Los Angeles,62,4.35,5,3.11,8.05,11.16,14.25,OK,0
SKU-049,Tripod Head A,Grip,LOC-02,Atlanta,67,8.19,5,5.85,8.05,13.9,8.18,OK,0
SKU-049,Tripod Head A,Grip,LOC-03,New York,15,3.95,5,2.82,8.05,10.87,3.8,OK,0
SKU-049,Tripod Head A,Grip,LOC-04,New Orleans,14,5.91,5,4.22,8.05,12.27,2.37,OK,0
SKU-050,Slider Rig A,Grip,LOC-01,Los Angeles,64,6.7,4,3.83,7.2,11.03,9.55,OK,0
SKU-050,Slider Rig A,Grip,LOC-02,Atlanta,67,12.21,4,6.98,7.2,14.18,5.49,OK,0
SKU-050,Slider Rig A,Grip,LOC-03,New York,61,5.62,4,3.21,7.2,10.41,10.85,OK,0
SKU-050,Slider Rig A,Grip,LOC-04,New Orleans,17,7.95,4,4.54,7.2,11.74,2.14,OK,0
SKU-051,V-Mount Battery A,Battery,LOC-01,Los Angeles,51,3.4,3,1.46,9.68,11.14,15.02,OK,0
SKU-051,V-Mount Battery A,Battery,LOC-02,Atlanta,18,6.51,3,2.79,9.68,12.47,2.77,OK,0
SKU-051,V-Mount Battery A,Battery,LOC-04,New Orleans,33,4.22,3,1.81,9.68,11.49,7.82,OK,0
SKU-052,V-Mount Battery B,Battery,LOC-01,Los Angeles,170,9.81,2,2.8,7.91,10.71,17.33,OK,0
SKU-052,V-Mount Battery B,Battery,LOC-02,Atlanta,49,15.52,2,4.43,7.91,12.34,3.16,OK,0
SKU-052,V-Mount Battery B,Battery,LOC-03,New York,51,8.21,2,2.35,7.91,10.25,6.21,OK,0
SKU-052,V-Mount Battery B,Battery,LOC-04,New Orleans,78,11.06,2,3.16,7.91,11.07,7.05,OK,0
SKU-053,Gold-Mount Battery A,Battery,LOC-01,Los Angeles,211,13.09,5,9.35,12.5,21.85,16.12,OK,0
SKU-053,Gold-Mount Battery A,Battery,LOC-02,Atlanta,212,28.49,5,20.35,12.5,32.85,7.44,OK,0
SKU-053,Gold-Mount Battery A,Battery,LOC-03,New York,58,13.58,5,9.7,12.5,22.2,4.27,OK,0
SKU-053,Gold-Mount Battery A,Battery,LOC-04,New Orleans,60,22.33,5,15.95,12.5,28.45,2.69,OK,0
SKU-054,Battery Charger Station A,Battery,LOC-01,Los Angeles,29,5.74,5,4.1,12.5,16.6,5.05,OK,0
SKU-054,Battery Charger Station A,Battery,LOC-02,Atlanta,54,9.45,5,6.75,12.5,19.25,5.72,OK,0
SKU-054,Battery Charger Station A,Battery,LOC-03,New York,24,4.59,5,3.28,12.5,15.78,5.23,OK,0
SKU-054,Battery Charger Station A,Battery,LOC-04,New Orleans,22,7.3,5,5.21,12.5,17.72,3.01,OK,0
SKU-055,Portable Power Station A,Battery,LOC-01,Los Angeles,66,6.35,4,3.63,11.18,14.81,10.39,OK,0
SKU-055,Portable Power Station A,Battery,LOC-02,Atlanta,32,10.59,4,6.05,11.18,17.23,3.02,OK,0
SKU-055,Portable Power Station A,Battery,LOC-03,New York,37,4.99,4,2.85,11.18,14.04,7.41,OK,0
SKU-055,Portable Power Station A,Battery,LOC-04,New Orleans,34,7.58,4,4.33,11.18,15.51,4.48,OK,0
SKU-056,V-Mount Battery C,Battery,LOC-01,Los Angeles,93,14.11,5,10.08,12.5,22.58,6.59,OK,0
SKU-056,V-Mount Battery C,Battery,LOC-02,Atlanta,198,24.0,5,17.14,12.5,29.64,8.25,OK,0
SKU-056,V-Mount Battery C,Battery,LOC-03,New York,92,13.2,5,9.43,12.5,21.93,6.97,OK,0
SKU-056,V-Mount Battery C,Battery,LOC-04,New Orleans,123,21.71,5,15.51,12.5,28.01,5.66,OK,0
SKU-057,Gold-Mount Battery B,Battery,LOC-01,Los Angeles,55,8.06,4,4.6,11.18,15.79,6.83,OK,0
SKU-057,Gold-Mount Battery B,Battery,LOC-02,Atlanta,93,12.86,4,7.35,11.18,18.53,7.23,OK,0
SKU-057,Gold-Mount Battery B,Battery,LOC-03,New York,50,7.04,4,4.03,11.18,15.21,7.1,OK,0
SKU-057,Gold-Mount Battery B,Battery,LOC-04,New Orleans,29,9.85,4,5.63,11.18,16.81,2.94,OK,0
SKU-058,Battery Distribution Block A,Battery,LOC-01,Los Angeles,115,6.72,2,1.92,7.91,9.83,17.12,OK,0
SKU-058,Battery Distribution Block A,Battery,LOC-02,Atlanta,71,11.8,2,3.37,7.91,11.28,6.02,OK,0
SKU-058,Battery Distribution Block A,Battery,LOC-03,New York,44,5.23,2,1.49,7.91,9.4,8.41,OK,0
SKU-058,Battery Distribution Block A,Battery,LOC-04,New Orleans,59,8.03,2,2.29,7.91,10.2,7.35,OK,0
SKU-059,On-Camera Monitor 7in,Monitor,LOC-01,Los Angeles,38,3.33,12,5.7,7.72,13.43,11.43,OK,0
SKU-059,On-Camera Monitor 7in,Monitor,LOC-02,Atlanta,39,5.35,12,9.18,7.72,16.9,7.29,OK,0
SKU-059,On-Camera Monitor 7in,Monitor,LOC-03,New York,24,2.72,12,4.67,7.72,12.39,8.81,OK,0
SKU-059,On-Camera Monitor 7in,Monitor,LOC-04,New Orleans,29,4.0,12,6.85,7.72,14.57,7.26,OK,0
SKU-060,On-Camera Monitor 5in,Monitor,LOC-01,Los Angeles,29,2.73,11,4.29,7.4,11.69,10.62,OK,0
SKU-060,On-Camera Monitor 5in,Monitor,LOC-02,Atlanta,47,4.53,11,7.11,7.4,14.51,10.38,OK,0
SKU-061,Director Monitor 17in,Monitor,LOC-01,Los Angeles,27,3.36,8,3.84,6.31,10.15,8.04,OK,0
SKU-061,Director Monitor 17in,Monitor,LOC-02,Atlanta,37,5.44,8,6.22,6.31,12.53,6.8,OK,0
SKU-061,Director Monitor 17in,Monitor,LOC-03,New York,25,2.73,8,3.12,6.31,9.43,9.15,OK,0
SKU-061,Director Monitor 17in,Monitor,LOC-04,New Orleans,45,4.06,8,4.64,6.31,10.95,11.09,OK,0
SKU-062,Video Village Monitor Kit A,Monitor,LOC-01,Los Angeles,38,3.39,8,3.88,6.31,10.18,11.2,OK,0
SKU-062,Video Village Monitor Kit A,Monitor,LOC-02,Atlanta,20,6.16,8,7.04,6.31,13.35,3.24,OK,0
SKU-062,Video Village Monitor Kit A,Monitor,LOC-03,New York,15,3.27,8,3.74,6.31,10.04,4.59,OK,0
SKU-063,Waveform Monitor A,Monitor,LOC-01,Los Angeles,13,1.45,8,1.66,6.31,7.97,8.95,OK,0
SKU-063,Waveform Monitor A,Monitor,LOC-02,Atlanta,16,2.48,8,2.84,6.31,9.14,6.45,OK,0
SKU-063,Waveform Monitor A,Monitor,LOC-03,New York,8,1.33,8,1.52,6.31,7.83,6.0,OK,0
SKU-064,Field Monitor 10in,Monitor,LOC-01,Los Angeles,24,6.61,5,4.72,4.99,9.71,3.63,OK,0
SKU-064,Field Monitor 10in,Monitor,LOC-02,Atlanta,84,11.6,5,8.29,4.99,13.28,7.24,OK,0
SKU-064,Field Monitor 10in,Monitor,LOC-03,New York,57,5.52,5,3.95,4.99,8.93,10.32,OK,0
SKU-064,Field Monitor 10in,Monitor,LOC-04,New Orleans,16,7.98,5,5.7,4.99,10.68,2.01,OK,0
SKU-065,Teleprompter Monitor A,Monitor,LOC-01,Los Angeles,95,5.87,10,8.39,7.05,15.44,16.18,OK,0
SKU-065,Teleprompter Monitor A,Monitor,LOC-02,Atlanta,61,10.37,10,14.82,7.05,21.87,5.88,OK,0
SKU-065,Teleprompter Monitor A,Monitor,LOC-03,New York,58,4.82,10,6.89,7.05,13.94,12.02,OK,0
SKU-065,Teleprompter Monitor A,Monitor,LOC-04,New Orleans,46,7.73,10,11.04,7.05,18.09,5.95,OK,0
SKU-066,Client Viewing Monitor A,Monitor,LOC-01,Los Angeles,12,1.95,5,1.39,4.99,6.38,6.16,OK,0
SKU-066,Client Viewing Monitor A,Monitor,LOC-02,Atlanta,12,3.34,5,2.39,4.99,7.37,3.59,OK,0
SKU-066,Client Viewing Monitor A,Monitor,LOC-04,New Orleans,9,2.6,5,1.86,4.99,6.85,3.46,OK,0
SKU-067,Cinema Drone A,Drone,LOC-01,Los Angeles,9,1.37,13,2.54,5.28,7.82,6.58,OK,0
SKU-067,Cinema Drone A,Drone,LOC-03,New York,9,1.3,13,2.41,5.28,7.69,6.93,OK,0
SKU-068,Cinema Drone B,Drone,LOC-02,Atlanta,23,5.09,21,15.28,6.71,22.0,4.51,OK,0
SKU-068,Cinema Drone B,Drone,LOC-03,New York,16,2.56,21,7.69,6.71,14.4,6.24,OK,0
SKU-069,Compact Drone A,Drone,LOC-02,Atlanta,6,0.81,10,1.16,4.63,5.79,7.41,OK,0
SKU-072,FPV Drone Kit B,Drone,LOC-02,Atlanta,16,1.77,19,4.81,6.39,11.2,9.03,OK,0
SKU-072,FPV Drone Kit B,Drone,LOC-04,New Orleans,15,1.23,19,3.33,6.39,9.72,12.22,OK,0
SKU-073,Drone Battery Kit A,Drone,LOC-01,Los Angeles,9,1.74,11,2.73,4.86,7.59,5.18,OK,0
SKU-073,Drone Battery Kit A,Drone,LOC-02,Atlanta,17,2.79,11,4.39,4.86,9.25,6.09,OK,0
SKU-073,Drone Battery Kit A,Drone,LOC-04,New Orleans,12,1.97,11,3.1,4.86,7.96,6.08,OK,0
SKU-074,Drone Controller Kit A,Drone,LOC-04,New Orleans,12,1.27,16,2.9,5.86,8.76,9.45,OK,0
SKU-075,Compact Drone B,Drone,LOC-01,Los Angeles,19,1.32,17,3.2,6.04,9.24,14.4,OK,0
SKU-075,Compact Drone B,Drone,LOC-02,Atlanta,21,2.61,17,6.33,6.04,12.37,8.06,OK,0
